quarter,period_end,gov_cr,orders_m,aov_inr,dark_stores,revenue_cr,contribution_margin_pct_gov,adj_ebitda_cr,source
Q1 FY25,2024-06-30,2724,55.9,487,557,374,-3.2,-318,Swiggy Q1 FY25 Shareholder Letter
Q2 FY25,2024-09-30,3382,67.8,499,609,490,-1.9,-359,Swiggy Q2 FY25 Shareholder Letter filed 2024-12-03
Q3 FY25,2024-12-31,3907,73.2,534,705,560,-4.6,-578,Swiggy Q3 FY25 Shareholder Letter filed 2025-01-17
Q4 FY25,2025-03-31,4670,88.6,527,1021,689,-5.6,-840,Swiggy Q4 FY25 Shareholder Letter filed 2025-05-16
Q1 FY26,2025-06-30,5655,92.4,612,1062,806,-4.1,-797,Swiggy Q1 FY26 Shareholder Letter filed 2025-08-08
Q2 FY26,2025-09-30,7022,100.8,697,1102,1000,-2.6,-695,Swiggy Q2 FY26 Shareholder Letter filed 2025-11-07
Q3 FY26,2025-12-31,7938,106.4,746,1136,,-2.5,-712,Swiggy Q3 FY26 Shareholder Letter filed 2026-01-30
Q4 FY26,2026-03-31,7881,112.6,700,1143,,-1.8,-858,Swiggy Q4 FY26 Shareholder Letter filed 2026-05-08
Q1 FY27,2026-06-30,7907,114.5,690,1171,1232,-0.2,-778,Swiggy Q1 FY27 Shareholder Letter filed 2026-07-30
